# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
UGC04080|7.9474639|73.7866111|141.0517348|30.5183106|0.143||1|Sa|4134|22|59.0571428571429|13.974|0.353|-20.039|||||34.013|0.249|63.4746182562869|1.096|2MASXJ07565087+7347118,CGCG331-022,MCG+12-08-021,NPM1G+73.0028,PGC022268,UGC04080,UZC075100+73550
UGC11599|20.6093864|11.4945713|56.0554807|-17.1753403|0.492||3.1|Sb|4448.6|1.9|63.5514299665179|13.975|0.367|-20.131|||||34.106|0.216|66.2521228640063|1.3|2MASXJ20363381+1129409,2MIG2807,CGCG424-026,HIPASSJ2036+11,IRAS20341+1119,LGG438:[G93]005,MCG+02-52-022,PGC065060,UGC11599,UZC203412+11200
NGC6968|20.8090207|-8.3602442|38.9651068|-29.7944383|0.42||-3|E-S0|6196.4|28.2|88.5199986049107|13.975|0.561|-20.821|11.425|0.084|||34.796|0.174|91.0333000983437|1.294|2MASXJ20483244-0821366,6dFJ2048325-082137,IC5062,IRAS20458-0829,MCG-02-53-006,NGC6968,NPM1G-08.0539,PGC065428
NGC2582|8.4200196|20.3347451|203.7416353|29.3689673|0.168|0.905|2.6|Sb|4411.8|2.1|63.0257114955357|13.977|0.101|-20.057|12.207|0.288|15.679|13.107|34.034|0.246|64.091447373999|1.076|2MASXJ08251207+2020052,CGCG089-022,CGCG119-091,IC2359,LGG159:[G93]002,MCG+04-20-050,NGC2582,NIBLES0649,PGC023630,SDSSJ082512.06+202005.0,SDSSJ082512.06+202005.1,SDSSJ082512.07+202005.1,UGC04391,UZC082224+20300
NGC5603|14.3837576|40.3773808|73.8109508|66.9205565|0.044|0.995|-2.2|S0|5566.3|6.5|79.5185686383929|13.977|0.062|-20.67|12.515|0.099|15.482|13.007|34.647|0.186|84.9962708599115|1.047|1ZW086,2MASXJ14230151+4022382,CGCG220-011,IRAS14210+4036,MCG+07-30-008,NGC5603,NIBLES2122,PGC051382,SDSSJ142301.52+402238.7,SDSSJ142301.53+402238.7,UGC09217,UZC142106+40360
UGC04749|9.0759694|51.6140278|166.6838587|41.3513716|0.081|0.625|1|Sa|4758.7|17.7|67.9814313616071|13.977|0.087|-20.304|||13.997|13.427|34.281|0.221|71.8124338522769|0.82|2MASXJ09043349+5136505,CGCG264-057,IRAS09010+5148,LGG168:[G93]003,MCG+09-15-083,MRK0101,PGC025473,SBS0901+518,UGC04749,UZC090100+51500,[RC2]A0901+51
UGC01841|2.3866089|42.991546|140.2550418|-16.7724205|0.354|0.82|-4.9|E|6373|15|91.0428571428571|13.977|0.785|-20.89||||14.81|34.867|0.168|94.0589477586377|1.34|4C+42.07,5ZW230,CGCG538-057,CGCG539-003,HFLLZOAG140.25-16.77,MCG+07-06-003,PGC009067,UGC01841,UZC022000+42460,[MO2001]J022311.8+425929.2,[RC2]A0220+42
NGC0789|2.0405528|32.0721944|140.0148245|-28.4335451|0.292||3|Sb|5264.6|2.9|75.2085728236607|13.977|0.318|-20.461|||||34.438|0.204|77.1969149967899|0.839|2MASXJ02022599+3204199,AGC001520,ARK072,CGCG503-077,IRAS01595+3149,KUG0159+318,LGG042:[G93]007,MCG+05-05-047,NGC0789,PGC007760,UGC01520,UZC015930+31500
NGC7288|22.4708254|-2.8845311|61.9900364|-48.0642812|0.284||0.6|Sa|4949.8|29.3|70.71142578125|13.977|0.505|-20.322|||||34.299|0.219|72.4102350557357|1.283|2MASXJ22281498-0253043,2MIG3046,6dFJ2228150-025304,IRAS22256-0308,LAMOSTJ222814.96-025304.2,MCG-01-57-013,MRK0912,NGC7288,PGC068933,PGC192329
NGC5416|14.0364756|9.440107|349.617989|65.674735|0.134|0.71|5.7|Sc|6244.8|6.4|89.21142578125|13.978|0.089|-20.861|12.599|0.302|15.136|13.288|34.839|0.17|92.8538980579547|1.111|2MASXJ14021133+0926237,AGC008944,CGCG074-052,IRAS13597+0940,MCG+02-36-014,NGC5416,PGC049991,SDSSJ140211.31+092624.3,SDSSJ140211.31+092624.4,SDSSJ140211.32+092624.4,UGC08944,UZC135942+09410,[KG2002]J140211.26+092623.9
NGC4156|12.1804475|39.4728199|154.7503371|75.043535|0.116|0.86|3.1|Sb|6775.8|12.5|96.7971400669643|13.979|0.067|-21.05|12.715|0.13|15.42|13.534|35.029|0.156|101.344425644297|1.046|2MASXJ12104958+3928223,CGCG215-047,KPG325,KPG325A,MCG+07-25-045,NGC4156,NIBLES1546,PGC038773,SDSSJ121049.60+392822.1,UGC07173,UZC120818+39450
ESO536-002|23.3669194|-23.5068333|38.1307553|-69.4985104|0.102||-2.7|E-S0|7903|35|112.9|13.98|0.433|-21.296|12.05|0.093|||35.276|0.14|113.553413851838|1.107|2MASXJ23220092-2330246,6dFJ2322009-233025,DUKST536-001,ESO536-002,MCG-04-55-006,PGC071212
NGC5000|13.1631908|28.9068688|57.7035279|85.5765927|0.039||3.8|Sbc|5594|4.3|79.9142857142857|13.98|0.129|-20.652|12.668|0.127|15.189|13.28|34.632|0.187|84.4111843729735|1.107|2MASXJ13094745+2854250,AGC008241,CGCG160-152,IRAS13073+2910,MCG+05-31-144,NGC5000,NIBLES1808,PGC045658,SDSSJ130947.48+285424.9,SDSSJ130947.48+285425.0,UGC08241,UZC130724+29100,VV460,[WTK2001]J130947.44+285423.0
ESO413-016|1.6658339|-28.6967893|224.0751253|-79.173667|0.097|0.91|3.9|Sbc|5941.2|7.3|84.8742885044643|13.98|0.291|-20.621|12.204|0.268|||34.601|0.189|83.2147567295189|1.291|2MASXJ01395702-2841480,2MFGC01259,AGC021297,ESO413-016,ESOLV4130160,IRAS01376-2856,MCG-05-05-007,PGC006161,PGC738549
IC0962|13.9536673|12.0213174|351.7350474|68.4082597|0.103|0.93|-2.5|S0|6216.7|1.9|88.8100027901786|13.981|0.271|-20.858|12.762|0.063|15.276||34.839|0.17|92.8538980579547|0.929|2MASXJ13571321+1201163,CGCG074-015,IC0962,IRAS13547+1215,MCG+02-36-003,PGC049626,SDSSJ135713.19+120116.7,SDSSJ135713.20+120116.7,SDSSJ135713.20+120116.8,UGC08868,UZC135442+12160,[SLT2009]J135713.2+120116.8
UGC05734|10.5708837|52.8708086|158.1301622|53.8381889|0.097||0|S0-a|7056|2.5|100.8|13.982|0.262|-21.136|12.656|0.102|15.779||35.118|0.15|105.584460726878|1.233|2MASXJ10341520+5252144,CGCG266-059,EGISJ103415.2+525215,EONJ158.563+52.871,MCG+09-17-074,NIBLES1061,PGC031269,SDSSJ103415.15+525214.9,SDSSJ103415.16+525214.9,SDSSJ103415.16+525215.1,SDSSJ103415.17+525215.1,UGC05734,UZC103106+53070
NGC4566|12.6000345|54.2209614|127.8633618|62.7593262|0.095|1.005|2.7|SBb|5357.6|2.6|76.5371442522321|13.983|0.148|-20.57|12.754|0.073|15.605|13.233|34.553|0.193|81.3954785300754|1.034|2MASXJ12360013+5413150,2MIG1748,CGCG270-012,KIG0539,LGG300:[G93]006,MCG+09-21-024,NGC4566,PGC042007,SDSSJ123600.10+541315.5,SDSSJ123600.11+541315.4,SDSSJ123600.11+541315.5,UGC07769,UZC123336+54300
ESO596-048|20.5039694|-19.1159242|25.5363601|-30.0473211|0.278|1.075|-3.3|E-S0|8005.2|19.6|114.360002790179|13.984|0.226|-21.349|12.367|0.669||12.934|35.333|0.136|116.57355387398|0.949|2MASXJ20301427-1906574,6dFJ2030143-190658,ESO596-048,ESOLV5960480,MCG-03-52-013,NPM1G-19.0557,PGC064826
NGC2623|8.6400187|25.7545702|198.839484|33.973452|0.178|0.815|2.7|Sb|5496.6|30.9|78.5228585379464|13.984|0.073|-20.942|13.277|0.072|15.521|13.552|34.926|0.216|96.6495280245324|1.379|2MASXJ08382409+2545167,AGC004509,ARP243,CGCG120-015,IRAS08354+2555,MCG+04-21-009,NGC2623,NRGb004.026,PGC024288,SDSSJ083824.00+254516.3,SDSSJ083824.01+254516.2,SDSSJ083824.02+254516.3,UGC04509,UZC083524+25560,VV079
NGC7242|22.2609661|37.2986556|91.6017292|-15.9211146|0.656|1.13|-4|E|5881|51.8|84.0142857142857|13.985|0.445|-20.753|||||34.738|0.179|88.6338863807312|1.09|2MASXJ22153950+3717554,CGCG513-023,CGCG514-003,MCG+06-48-025,NGC7242,PGC068434,UGC11969,UZC221324+37030
UGC06887|11.9203354|22.6954067|229.0396526|76.5147649|0.114||6.9|SBcd|6808.9|3.8|97.2699986049107|13.985|2.333|-21.044|||14.845|13.085|35.029|0.156|101.344425644297|0.968|2MASXJ11551317+2241427,AGC006887,CGCG127-104,IRAS11526+2258,MCG+04-28-095,PGC037406,UGC06887,UZC115236+22590
UGC00484|0.7822185|32.6753208|121.8352251|-30.186791|0.373||3.1|Sb|4866.8|25.9|69.5257114955357|13.988|0.33|-20.311|||||34.299|0.219|72.4102350557357|1.338|2MASXJ00465598+3240312,2MFGC00562,AGC000484,CGCG500-091,CGCG501-010,IRAS00442+3224,KPG017A,LGG014:[G93]005,MCG+05-03-001,PGC002743,UGC00484,UZC004412+32240,VV441,[RC2]A0044+32
NGC5754|14.7554584|38.7311943|66.2169704|63.5844702|0.048||3|SBb|4404.3|4.6|62.9185686383929|13.988|0.291|-20.163|12.673|0.09|15.815||34.151|0.232|67.6394699000227|1.108|2MASXJ14451966+3843526,ARP297:,CGCG220-052:,IRAS14432+3856,MCG+07-30-061,NGC5754,PGC052686,SDSSJ144519.64+384352.3,SDSSJ144519.65+384352.3,UGC09505,UZC144318+38560
UGC05241|9.7995651|54.0147165|161.2527187|47.1477285|0.052||4.6|Sc|7464.7|3|106.63857421875|13.988|0.275|-21.252|12.996|0.221|15.239||35.24|0.142|111.686411107433|0.974|2MASXJ09475843+5400528,CGCG265-042,IRAS09445+5414,MCG+09-16-051,MRK1425,PGC028166,SBS0944+542,SDSSJ094758.43+540052.9,SDSSJ094758.43+540053.0,SDSSJ094758.43+540053.1,UGC05241,UZC094430+54150
UGC01166|1.6429977|34.9920154|133.7451753|-26.8878913|0.197||-1|S0-a|4864.1|29.1|69.4871442522321|13.989|0.297|-20.292|12.37|0.1|||34.281|0.22|71.8124338522769|1.181|2MASXJ01383478+3459313,2MFGC01243,CGCG521-061,LGG026:[G93]017,MCG+06-04-049,PGC006077,UGC01166,UZC013542+34450
UGC01385|1.914971|36.9178123|136.8003163|-24.238981|0.351||0.6|SBa|5597.8|16.2|79.9685686383929|13.989|0.085|-20.596|12.58|0.1|13.849|13.399|34.585|0.191|82.60376013065|0.803|2MASXJ01545380+3655046,CGCG522-058,GIN114,IRAS01519+3640,KUG0151+366,MCG+06-05-044,MRK0002,PGC007111,UGC01385,UZC015200+36410,[MO2001]J015454.0+365503.5,[RC2]A0151+36
PGC027568|9.6627769|-11.3456369|246.0508658|29.6767845|0.231||4|Sbc|4437.1|32.8|63.3871442522321|13.99|0.5|-20.003|12.24|0.093|||33.993|0.252|62.8926661999265|1.096|2MASXJ09394601-1120445,2MIG1310,6dFJ0939460-112044,IRAS09373-1107,MCG-02-25-011,PGC027568
ESO563-021|8.7880545|-20.0356286|244.8671529|14.3974868|0.899|0.9|4.4|Sbc|4581.2|4.6|65.4457170758929|13.99|0.5|-20.252|11.508|0.079|||34.242|0.339|70.5342602601064|1.485|2MASXJ08471698-2002083,2MFGC06899,6dFJ0847170-200209,AGC026163,ESO563-021,FGC0794,HIPASSJ0847-20,IRAS08450-1951,MCG-03-23-005,PGC024685,RFGC1431,UGCA145
ESO576-066|13.4988333|-20.6845556|314.9446107|41.2876364|0.386||-2.8|E-S0|5279.1|17.8|75.4157156808036|13.991|0.225|-20.43|11.69|0.077|||34.421|0.206|76.5949764306754|1.115|2MASXJ13295580-2041044,ESO576-066,ESOLV5760660,MCG-03-34-085,PGC047408
UGC10510|16.6753|58.0912222|87.5106873|39.8984091|0.08|0.89|5.3|SABc|5437.8|12.4|77.6828543526786|13.992|0.177|-20.624||||13.052|34.616|0.189|83.7915503148468|0.871|2MASXJ16403108+5805284,CGCG299-011,MCG+10-24-021,PGC058731,UGC10510,UZC163936+58130,[RC2]A1639+58
NGC0165|0.6080334|-10.1061221|110.5232351|-72.6165994|0.149|0.745|4.1|Sbc|5889.6|0.9|84.1371442522321|13.993|0.081|-20.639|12.693|0.226|15.271|13.193|34.632|0.187|84.4111843729735|1.212|2MASXJ00362890-1006223,6dFJ0036289-100622,IRAS00339-1022,MCG-02-02-069,NGC0165,NIBLES0088,PGC002182,SDSSJ003628.92-100621.8,SDSSJ003628.92-100621.9,SDSSJ003628.93-100621.8
NGC2994|9.7878077|22.0895106|209.3797838|48.0642015|0.145|0.985|-1.9|S0|7419.2|3.5|105.98857421875|13.993|0.09|-21.187|12.494|0.05|15.48|13.083|35.18|0.145|108.642577630186|0.976|2MASXJ09471608+2205221,CGCG122-082,IRAS09444+2219,MCG+04-23-035,NGC2994,NIBLES0931,PGC028122,PGC1663286,SDSSJ094716.11+220522.1,SDSSJ094716.11+220522.2,UGC05239,UZC094424+22200
NGC1101|2.8041111|4.5780833|169.0451432|-47.5612521|0.284|1.02|-1.7|S0|7086.6|56.9|101.237144252232|13.994|0.164|-21.048|||14.514|13.054|35.042|0.156|101.952989159259|1.125|2MASXJ02481480+0434411,CGCG415-011,MCG+01-08-003,NGC1101,NPM1G+04.0092,PGC010613,UGC02278,UZC024542+04220
NGC7025|21.1298156|16.3357467|64.8776464|-20.5126504|0.344||1|Sa|4968.1|2|70.9728585379464|13.994|0.329|-20.376|||||34.37|0.212|74.8169132497708|1.305|2MASXJ21074732+1620090,2MIG2873,CGCG449-003,IRAS21054+1607,KIG0897,LGG442:[G93]008,MCG+03-54-001,NGC7025,PGC066151,UGC11681,UZC210530+16080
NGC7253A|22.3243642|29.3958089|87.3607035|-22.7840419|0.287||7|SABc|4582.3|18|65.46142578125|13.994|0.574|-20.195|||||34.189|0.228|68.8334972062255|1.193|2MASXJ22192770+2923448,2MFGC16825,AGC011984,ARP278:,CGCG494-014:,KPG566A,MCG+05-52-010,NGC7253:,NGC7253A,PGC068572,UGC11984,UZC221712+29080,VV242:
NGC5433|14.0433517|32.5104533|56.4604024|73.6785841|0.068||7.3|SBcd|4350.1|3.9|62.144287109375|13.994|0.301|-20.119|12.657|0.193|15.454||34.113|0.237|66.4660381475411|1.182|2MASXJ14023606+3230375,2MFGC11366,AGC008954,CGCG191-038,IRAS14003+3245,KUG1400+327,MCG+06-31-050,NGC5433,PGC050012,SDSSJ140236.07+323037.6,SDSSJ140236.08+323037.6,UGC08954,UZC140018+32450
PGC068714|22.3840153|30.9240327|89.007949|-22.0002406|0.337||1.7|Sab|6708.2|4.3|95.8314313616071|13.995|0.41|-21.008|||||35.003|0.158|100.138174587953|0.73|2MASXJ22230240+3055272,AGC012011,CGCG494-018:,IRAS22207+3040,KPG567A,PGC068714,UGC12011:,UZC222048+30400,[RC2]A2220+30A
NGC4957|13.0867711|27.5697701|41.9368087|86.9110621|0.041|1.015|-4.7|E|6884.1|2.8|98.344287109375|13.995|0.054|-21.072|12.419|0.163|15.389|12.995|35.067|0.153|103.133621605158|1.087|2MASXJ13051235+2734113,CGCG160-130,MCG+05-31-124,NGC4957,PGC045253,SDSSJ130512.38+273411.1,SDSSJ130512.39+273411.1,UGC08178,UZC130248+27500,[RGD2016]J130512.39+273411.1
NGC5456|14.0830238|11.8715953|355.0233942|66.9696842|0.101||-2|S0|7126.2|3|101.802859933036|13.995|0.341|-21.136|12.516|0.129|15.301||35.131|0.149|106.21848524413|1.134|CGCG074-089,MCG+02-36-036,NGC5456,NIBLES2029,PGC050213,SDSSJ140458.88+115217.8,SDSSJ140458.89+115217.8,UGC09004,UZC140230+12070
UGC12655|23.5414056|23.9310556|100.6488986|-35.5011032|0.252||-2.1|S0|5098.1|3.3|72.8300013950893|13.996|0.227|-20.391|12.03|0.216|||34.387|0.209|75.4050109794025|1.058|2MASXJ23322906+2355518,AGC012655,CGCG476-064,MCG+04-55-025,PGC071701,UGC12655,UZC233000+23390
NGC3667|11.4047278|-13.8572083|272.9337194|43.8796655|0.175||2|Sab|5350.3|6.3|76.4328543526786|13.997|0.376|-20.441|11.256|0.092|||34.438|0.205|77.1969149967899|1.323|2MASXJ11241702-1351259,6dFJ1124170-135126,MCG-02-29-025,NGC3667,NPM1G-13.0324,PGC035028
NGC3969|11.9192306|-18.9273889|284.9145541|41.9667873|0.2||-0.6|S0-a|6685|21.9|95.5|13.997|0.186|-20.925|||||34.922|0.164|96.4717545078357|1.119|2MASXJ11550923-1855386,ESO572-017,ESOLV5720170,MCG-03-30-020,NGC3969,PGC037396
NGC2562|8.3398997|21.1313459|202.4410495|28.5921402|0.189|1.04|-0.1|S0-a|5063|2.5|72.3285714285714|13.997|0.187|-20.338|11.857|0.301|15.307|12.977|34.335|0.214|73.6206787098167|1.012|2MASXJ08202368+2107533,ARK159,CGCG119-063,LGG158:[G93]003,MCG+04-20-031,NGC2562,NGC2563:[ZM98]0008,NIBLES0628,PGC023395,SDSSJ082023.65+210753.2,SDSSJ082023.65+210753.3,SDSSJ082023.66+210753.3,UGC04345,UZC081730+21170
NGC5522|14.2473217|15.1468368|5.4418671|67.2139451|0.103||3.1|SBb|4578.7|1.4|65.4100027901786|13.997|0.277|-20.192|12.52|0.178|15.278||34.189|0.228|68.8334972062255|1.272|2MASXJ14145036+1508480,2MFGC11563,2MIG1955,AGC009116,CGCG103-125,IRAS14124+1522,MCG+03-36-089,NGC5522,PGC050889,SDSSJ141450.36+150848.7,SDSSJ141450.37+150848.7,SDSSJ141450.37+150848.8,UGC09116,UZC141224+15230
ESO416-015|2.7603681|-27.9611442|221.4874273|-64.7333314|0.069||2.4|SABa|6746.2|30.2|96.3742885044643|13.998|0.397|-20.883|12.34|0.1|||34.881|0.167|94.6673246209761|1.052|2DFGRSS234Z027,2MASXJ02453726-2757398,AGC022079,ESO416-015,ESOLV4160150,IRAS02434-2810,MCG-05-07-018,PGC010441
NGC6433|17.7322845|36.800087|62.068698|28.6865817|0.163||3.1|Sb|7520.9|4.4|107.441427176339|13.998|0.328|-21.289|||||35.287|0.139|114.129982258723|1.282|2MASXJ17435621+3648005,2MFGC14004,CGCG199-013,IRAS17422+3649,MCG+06-39-015,NGC6433,PGC060766,UGC10962,UZC174212+36480
NGC5482|14.1418599|8.9318901|351.5674028|64.2557744|0.117||-2|S0|7108.1|2.7|101.544287109375|13.999|0.347|-21.119|12.286|0.085|15.352||35.118|0.15|105.584460726878|1.068|2MASXJ14083072+0855548,CGCG074-115,MCG+02-36-043,NGC5482,PGC050459,SDSSJ140830.69+085554.8,SDSSJ140830.70+085554.9,UGC09038,UZC140600+09100
PGC072499|23.8158055|-16.5402205|65.9241929|-72.0741757|0.106||-2|S0|7346|37|104.942857142857|14|0.5|-21.118|14.94|0.081|||35.118|0.15|105.584460726878|0.896|2MASXIJ2348568-163225,LCSB_L830O,MCG-03-60-019,PGC072499,PGC196742
NGC1645|4.7351111|-5.46575|202.5700209|-30.7114675|0.231||-0.9|S0-a|4890.8|19.4|69.8685686383929|14|0.5|-20.189|11.719|0.073|||34.189|0.23|68.8334972062255|1.339|2MASXJ04440640-0527567,LGG118:[G93]002,MCG-01-13-002,NGC1645,NPM1G-05.0213,PGC015903
ESO529-005|20.8297889|-25.6986944|19.7823504|-36.4198117|0.363||-1.2|S0-a|5941.4|26.8|84.8771414620536|14|0.354|-20.678|12.423|0.078|||34.678|0.184|86.2184638455705|1.082|2MASXJ20494722-2541551,6dFJ2049472-254155,ESO529-005,MCG-04-49-004,PGC065472
IC2974|11.8968738|-5.1679043|277.4542638|54.8279794|0.145|0.94|4.8|Sc|5744.2|2.8|82.0600027901786|14|0.5|-20.616|11.92|0.1|||34.616|0.189|83.7915503148468|1.341|2MASXJ11534872-0510044,2MFGC09337,AGC510177,IC2974,IRAS11512-0453,MCG-01-30-045,PGC037304
PGC038534|12.1374125|-15.7171667|287.9145905|45.8913603|0.246|0.7|5.1|SBc|5175.4|9.8|73.9342843191964|14|0.5|-20.37|12.385|0.083||13.31|34.37|0.211|74.8169132497708|1.057|2MASXJ12081468-1543019,6dFJ1208147-154302,IRAS12056-1526,LGG273:[G93]003,MCG-02-31-019A,PGC038534
NGC4838|12.9655972|-13.0600417|305.3830425|49.7807928|0.237||2.9|Sb|5021.6|6.9|71.7371442522321|14|0.5|-20.317|11.54|0.081|||34.317|0.216|73.0130126436407|1.252|2MASXJ12575614-1303360,6dFJ1257562-130336,HIPASSJ1257-13,IRAS12552-1247,MCG-02-33-074,NGC4838,PGC044383
PGC007415|1.9681522|3.0835372|153.5355105|-55.7768786|0.111||5.7|SBc|5583.9|27.1|79.7699986049107|14|0.5|-20.521|||||34.521|0.198|80.2047300985074|0.859|2MASXJ01580527+0305012,ARP126:,KPG047A,MCG+00-06-009,PGC007415,UM152,UZC015536+02500,VV122:
PGC068719|22.3837367|30.9245798|89.0051382|-21.9977187|0.337||3.6|Sbc|6713.3|6.8|95.9042829241071|14|0.5|-21.003|||||35.003|0.158|100.138174587953|0.646|2MASXJ22230139+3055292,CGCG494-018:,KPG567B,PGC068719,UGC12011:,UZC222048+30400,[RC2]A2220+30B
NGC0762|1.9493806|-5.4028611|161.53112|-63.2528497|0.11||1.2|Sa|4907.9|21.3|70.1128557477679|14|0.5|-20.208|||||34.208|0.227|69.4384529793694|1.093|2MASXJ01565777-0524103,IRAS01544-0538,MCG-01-06-006,MRK1012,NGC0762,PGC007322
NGC7682|23.4844164|3.5333333|86.8011345|-53.4591968|0.291|1.03|1.6|Sab|5118.8|5.6|73.1257114955357|14.001|0.156|-20.369|11.91|0.1||13.938|34.37|0.212|74.8169132497708|1.061|2MASXJ23290389+0332000,AGC012622,ARP216:,CGCG380-062,HIPASSJ2329+03,LAMOSTJ232903.90+033159.9,MCG+00-59-047,NGC7682,NPM1G+03.0615,PGC071566,SRGB037.047,UGC12622,UZC232630+03150,VV329:
NGC0311|0.9590577|30.2807902|124.4960868|-32.5723742|0.284|1.05|-2|S0|5020.2|41.1|71.7171456473214|14.001|0.06|-20.351|||14.571|13.001|34.352|0.213|74.1993734477117|1.134|2MASXJ00573274+3016508,CGCG501-049,LAMOSTJ005732.72+301650.6,LGG014:[G93]013,MCG+05-03-028,NGC0311,PGC003434,UGC00592,UZC005448+30000,[MLO2002]J005732.3+301651
NGC5051|13.2722442|-28.2857556|309.5657138|34.2651352|0.3|0.91|3.7|SABb|4416.7|6.7|63.0957170758929|14.002|0.198|-20.472|11.823|0.07|||34.474|0.248|78.4873750512361|1.218|2MASXJ13162008-2817085,6dFJ1316201-281709,AGC029413,ESO444-001,ESOLV4440010,IRAS13135-2801,MCG-05-31-042,NGC5051,PGC046194
NGC0704|1.8771378|36.1267371|136.5451299|-25.122166|0.384||-3.5|E-S0|4729.4|5.2|67.5628557477679|14.002|0.41|-20.224|12.645|0.306|||34.226|0.225|70.016492025404|1.04|2MASXJ01523770+3607362,5ZW134,CGCG522-034,CGCG522-034N,LGG037:[G93]025,MCG+06-05-028,NFPJ015237.7+360737,NGC0704,PGC006953,UGC01343:,UGC01343N,UZC014942+35520
NGC0850|2.1871265|-1.4855313|163.0034564|-58.0093016|0.125||-0.7|S0-a|8120.2|31.6|116.002859933036|14.003|0.247|-21.33|11.653|0.093|||35.333|0.136|116.57355387398|1.085|2MASXJ02111366-0129080,6dFJ0211137-012908,CGCG387-053,MCG+00-06-049,NGC0850,NPM1G-01.0077,PGC008369,UGC01679,UZC020836-01440
IC0989|14.2476027|3.1309257|346.2580294|58.7979667|0.145|0.99|-4.8|E|7586.3|11.2|108.375711495536|14.003|0.087|-21.249|12.595|0.076|15.657|13.073|35.252|0.141|112.305177934512|0.993|2MASXJ14145136+0307512,AGC009114,CGCG046-072,IC0989,MCG+01-36-027,NIBLES2074,PGC050891,SDSSJ141451.34+030751.3,SDSSJ141451.35+030751.2,SDSSJ141451.35+030751.3,UGC09114,UZC141218+03210
NGC2759|9.1436884|37.6216026|185.4906406|42.4971863|0.085||-3|E-S0|6930.6|3.4|99.0085728236607|14.003|0.065|-21.052|12.387|0.108|15.547|13.043|35.055|0.154|102.565207039515|1.105|2MASXJ09083728+3737174,CGCG180-042,LAMOSTJ090837.30+373717.6,MCG+06-20-033,NGC2759,PGC025718,SDSSJ090837.29+373717.6,SDSSJ090837.29+373717.7,UGC04795,UZC090524+37490
NGC0716|1.8832483|12.7084493|145.4424587|-47.4548329|0.23||1.1|Sa|4559.7|2.8|65.13857421875|14.005|0.171|-20.088|12.333|0.284|15.426||34.093|0.24|65.8566599639353|1.118|2MASXJ01525968+1242305,AGC001351,CGCG437-049,IC1743,IRAS01503+1227,MCG+02-05-054,NGC0716,NIBLES0281,PGC006982,SDSSJ015259.68+124230.4,UGC01351,UZC015012+12280
NGC1233|3.2091944|39.3186971|150.608273|-15.8519661|0.658||3|Sb|4388.9|4.5|62.6985700334821|14.005|0.062|-20.043|12.042|0.064|14.205|13.165|34.048|0.199|64.5059933006255|1.179|2MASXJ03123310+3919081,CGCG524-065,CGCG525-006,IRAS03093+3907,LGG083:[G93]002,MCG+06-08-003,NGC1233,NGC1235,PGC011941,PGC011955,UGC02586,UZC030918+39080
NGC2514|8.0471219|15.8082772|206.2076609|22.7473909|0.135|0.645|4.6|Sc|4851.9|2.4|69.3128557477679|14.007|0.041|-20.219|13.126|0.052|15.218|13.447|34.226|0.225|70.016492025404|1.08|2MASXJ08024965+1548300,AGC004189,CGCG088-022,IRAS08000+1556,LGG153:[G93]004,MCG+03-21-011,NGC2514,PGC022581,SDSSJ080249.63+154829.7,SDSSJ080249.63+154829.8,UGC04189,UZC080000+15570
IC0048|0.7262444|-8.1865|116.9556673|-70.9669723|0.168|0.87|-2.2|S0|5957.2|19.2|85.1028599330357|14.007|0.127|-20.655|12.045|0.079|14.277|13.157|34.662|0.185|85.585412807032|1.051|2MASXJ00433448-0811114,IC0048,IC1577,IRAS00410-0827,MCG-01-03-001,PGC002603,PGC002608
UGC02073|2.6012291|42.4207878|142.7618286|-16.3862373|0.36||-1.9|S0|5165|36.7|73.7857142857143|14.008|0.292|-20.413|||||34.421|0.207|76.5949764306754|1.055|2MASXJ02360443+4225157,CGCG539-057,MCG+07-06-041,PGC009873,UGC02073,UZC023254+42120
