# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
NGC0628|1.6116111|15.7834583|138.6171898|-45.7053728|0.304|0.67|5.2|Sc|658.4|1|9.40571463448661|9.705|0.26|-20.325|8.839|0.109||9.306|30.03|0.023|10.1391170634762|1.995|2MASXJ01364177+1547004,AGC001149,CGCG460-014,HIPASSJ0136+15,IRAS01340+1531,IRAS01340+1532,LGG029:[G93]005,MCG+03-05-011,MESSIER074,NGC0628,PGC005974,UGC01149,UZC013400+15320
NGC3627|11.3375023|12.9916041|241.960894|64.4186554|0.144|0.82|3.1|Sb|718.9|2.2|10.2700003487723|9.735|0.197|-20.56|7.81|0.06|9.935|10.312|30.295|0.04|11.4551298169274|2.012|2MASXJ11201502+1259286,ADBSJ112020+1259,AGC006346,ARK288,ARP016,ARP317:,CGCG067-057,HIPASSJ1120+13A,IRAS11176+1315,LGG231:[G93]003,MCG+02-29-019,MESSIER066,MRC1117+132,NGC3627,PGC034695,SDSSJ112014.98+125929.4,UGC06346,UZC111736+13160,VV308:
NGC4406|12.4366054|12.9458098|279.08329|74.6366365|0.127|0.94|-4.8|E|-291.8|18.7|-4.16857125418527|9.736|0.133|-21.465|8.05|0.194|10.668|8.859|31.201|0.047|17.3860147094557|2.062|2MASXJ12261181+1256454,ACSVCS004,AGC007532,ALFALFA1-315,CGCG070-072,EVCC0597,GIN780,M86,MCG+02-32-046,MESSIER086,NGC4406,PGC040653,SDSSJ122611.75+125646.3,UGC07532,UZC122342+13140,VCC0881,VIRGO:[TT2002]01,[RG2008]J186.54898+12.94622,[TH2002]003
NGC1068|2.7113153|-0.0132779|172.1038736|-51.9336851|0.144|0.78|3|Sb|1141.2|6.4|16.3028564453125|9.743|0.413|-20.373|7.49|0.1|9.833|9.285|30.116|0.341|10.5487219328509|1.786|2MASXJ02424077-0000478,3C071,4C-00.13,AGC002188,ARP037,CGCG388-098,HIPASSJ0242+00,IRAS02401-0013,KUG0240-002,LGG073:[G93]002,MCG+00-07-083,MESSIER077,MRC0240-002,NGC1068,PGC010266,PKS0240-002,UGC02188,UZC024006-00130
NGC4490|12.510095|41.6439942|137.9947267|74.8694167|0.094|0.425|7|SBcd|586.9|2.2|8.38428606305804|9.761|0.172|-20.306|||9.932|9.725|30.067|0.88|10.3133531016079|1.827|2MASXJ12303636+4138370,ARP269:,CGCG216-008,IRAS12281+4154,IRAS12281+4155,KPG341B,KUG1228+419,LGG290:[G93]008,MCG+07-26-014,NGC4490,PGC041333,PGC089542,SDSSJ123036.23+413840.7,UGC07651,UZC122806+41550,VV030:,WSRT-CVN67A
NGC4649|12.7277669|11.5527063|295.8728588|74.31781|0.114|1|-4.6|E|1107.3|15.4|15.8185721261161|9.793|0.064|-21.366|8.007|0.162|11.37|8.79|31.159|0.068|17.0529720146776|1.831|2MASXJ12434000+1133093,ACSVCS003,ARP116:,CGCG071-016,EVCC1101,KPG353B,LGG292:[G93]026,M60,MCG+02-33-002,MESSIER060,NGC4649,NIBLES1717,PGC042831,SDSSJ124339.97+113309.7,UGC07898,UZC124106+11500,VCC1978,VV206:,[RG2008]J190.91656+11.55271,[TH2002]002
NGC3521|11.0968748|-0.0347594|255.5314927|52.8305617|0.249|0.895|4|SABb|801.6|2.7|11.4514282226563|9.896|0.208|-20.57|7.835|0.068|10.126|9.109|30.466|0.289|12.3936697838802|1.92|2MASXJ11054859-0002092,AGC006150,CGCG010-074,HIPASSJ1105-00,IRAS11032+0014,KIG0461,MCG+00-28-030,MGC96918,MRC1103+002,NGC3521,PGC033550,UGC06150,UZC110318+00150
NGC4725|12.840725|25.50075|295.0800318|88.3572668|0.051|0.895|2.2|SABa|1207.5|1.5|17.25|9.924|0.148|-20.482|8.165|0.051||9.384|30.406|0.026|12.0559108397399|1.987|2MASXJ12502661+2530027,ADBSJ125029+2530,AGC007989,CGCG129-027,HIPASSJ1250+25,IRAS12478+2545,IRAS12480+2547,KUG1247+257B,MCG+04-30-022,NGC4725,PGC043451,UGC07989,UZC124800+25460
NGC4382|12.4233336|18.190178|267.713793|79.2363224|0.131|0.895|-1.3|S0-a|718.7|10.7|10.267143031529|9.943|0.193|-21.299|8.12|0.288|10.92|9.046|31.242|0.041|17.7174051303927|1.842|2MASXJ12252405+1811278,ACSVCS005,CGCG099-045,EVCC0554,GIN779,KPG334A,LGG292:[G93]035,M85,MCG+03-32-029,MESSIER085,NGC4382,PGC040515,UGC07508,UZC122254+18280,VCC0798,[TH2002]004
NGC3628|11.3380503|13.5896273|240.8512306|64.7808101|0.117|0.84|3.1|SBb|845.1|1.3|12.0728567940848|9.975|0.188|-20.239||||9.451|30.214|0.339|11.0357064668089|2.043|2MASXJ11201701+1335221,ADBSJ112026+1334,AGC006350,ARP317:,CGCG067-058,HIPASSJ1120+13B,IRAS11176+1351,LGG231:[G93]004,MCG+02-29-020,MRC1117+138,NGC3628,PGC034697,SDSSJ112017.01+133522.8,UGC06350,UZC111742+13520,VV308:
