Name,RA,DEC,l,b,extinct,eff_B-V,t,type,v,e_v,dist_Hf,bt,e_bt,Bmagt,it,e_it,ut,vt,modbest,e_modbest,dist_Mpc,logd25,hl_names(pgc),appDiam_arcsec,appDiam_kpc,est_vt,est_Vmagt,Sn,Ngc,sigma_G,mu_g,vis_GCs,pc_vis_GCs
IC3093,184.176504,14.2777693,268.985625,74.8113493,0.153,,5.2,Sc,7048.0,1.9,100.685714285714,14.794,0.228,-20.299,,,,,35.093,0.152,104.375772055067,0.574,"2MASXJ12164231+1416400,AGC220280,ALFALFA1-220,CGCG098-126,IC3093,KUG1214+145,PGC039342,SDSSJ121642.36+141640.1,UZC121406+14330,VCC0206,[RGD2016]J121642.36+141640.1",22.49838013472901,11.384800119025153,14.069197138514301,-21.023802861485702,1.7149899495971113,440,3.1699,27.893000000000004,13,3.115
UGC05924,162.300576,22.015957,216.6214329,61.8144968,0.094,,1.0,Sa,7633.3,1.4,109.047140066964,14.795,0.4,-20.457,12.502,0.244,15.716,,35.252,0.141,112.305177934512,0.96,"2MASXJ10491211+2200573,AGC005924,CGCG125-010,MCG+04-26-011,NPM1G+22.0303,PGC032367,SDSSJ104912.13+220057.5,SDSSJ104912.13+220057.6,UGC05924,UZC104630+22170",54.72065036135458,29.793771970640414,14.07015764712671,-21.181842352873293,1.8540116800362512,550,3.1856999999999998,28.052000000000003,15,2.818
UGC07823,189.890049,47.6233141,128.6201172,69.3736151,0.085,,5.8,Sc,7270.4,4.8,103.862855747768,14.795,0.283,-20.397,13.478,0.068,15.753,,35.192,0.145,109.244672876289,0.998,"2MASXJ12393364+4737239,CGCG244-035,MCG+08-23-070,PGC042362,PGC2301394,SDSSJ123933.60+473723.7,SDSSJ123933.60+473723.8,UGC07823,UZC123712+47540",59.72432504109162,31.63195089749211,14.07015764712671,-21.12184235287329,1.7984310627698505,505,3.1796999999999995,27.992,14,2.959
NGC3819,175.524492,10.3512288,255.3989685,66.5876657,0.234,,-4.7,E,6218.4,2.8,88.8342843191964,14.795,0.086,-20.015,13.096,0.063,16.248,,34.81,0.173,91.6221069561905,0.954,"2MASXJ11420585+1021047,CGCG068-030,HCG058D,MCG+02-30-013,NGC3819,NPM1G+10.0270,PGC036311,SDSSJ114205.85+102104.1,SDSSJ114205.86+102104.0,SDSSJ114205.86+102104.1,UZC113930+10380,[KG2002]J114205.86+102104.9",53.969854891802115,23.97319863916212,14.07015764712671,-20.739842352873293,1.5226578808449176,300,3.1414999999999997,27.610000000000003,10,3.664
UGC08306,198.3933915,15.9919037,328.8097214,77.7369596,0.118,,3.1,Sb,6783.2,6.2,96.9028599330357,14.795,0.276,-20.221,13.126,0.237,16.296,,35.016,0.157,100.739494681502,1.157,"2MASXJ13133443+1559314,2MFGC10543,AGC008306,ALFALFA1-516,CGCG101-009,IRAS13111+1615,KIG0576,MCG+03-34-005,PGC045959,SDSSJ131334.41+155930.9,SDSSJ131334.41+155931.0,UGC08306,UZC131106+16150",86.12936600121935,42.06544400747086,14.07015764712671,-20.94584235287329,1.6550155419322437,395,3.1620999999999997,27.816,12,3.28
PGC055219,232.316682,39.6281252,64.1358007,55.0926467,0.082,,3.7,Sbc,6723.7,4.1,96.0528599330357,14.795,0.36,-20.247,13.706,0.06,15.944,,35.042,0.155,101.952989159259,0.862,"2MASXJ15291601+3937413,CGCG222-014,IRAS15274+3947,MCG+07-32-014,PGC055219,SDSSJ152915.98+393740.9,SDSSJ152915.99+393741.0,SDSSJ152916.00+393741.1,UZC152724+39480",43.666788272209445,21.583688901831277,14.07015764712671,-20.971842352873292,1.6743989305423383,409,3.1647,27.842000000000002,13,3.207
IC0742,177.759363,20.7997239,234.3470435,74.8356617,0.213,0.88,2.0,Sab,6382.2,4.0,91.1742885044643,14.796,0.074,-20.085,12.751,0.339,16.203,13.926,34.881,0.167,94.6673246209761,1.028,"2MASXJ11510223+2047591,AGC006822,CGCG127-073,IC0742,MCG+04-28-068,PGC037056,SDSSJ115102.25+204758.9,SDSSJ115102.26+204759.0,UGC06822,UZC114824+21050",63.995767273815474,29.37147880095377,13.926,-20.955,1.6617726352274076,400,3.1485000000000003,27.681,14,3.597
ESO468-027,341.7807495,-29.4716389,20.6460987,-62.6160553,0.089,,4.6,Sc,6849.9,32.0,97.855712890625,14.797,0.238,-20.166,,,,,34.963,0.161,98.3105781755443,0.963,"2DFGRSS260Z168,2MASXJ22470738-2928179,ESO468-027,ESOLV4680270,MCG-05-53-032,PGC069708,PGC728964",55.09995578901484,26.26188888597182,14.07207866435153,-20.89092133564847,1.616076463974082,367,3.1566,27.763,12,3.35
IC0843,195.3902265,29.1304679,75.4178068,87.0019068,0.069,0.94,-2.4,S0,7354.7,3.8,105.067145647321,14.797,0.376,-20.407,12.859,0.199,15.91,,35.204,0.144,109.849911946474,1.027,"2MASXJ13013361+2907497,CGCG160-099,IC0843,MCG+05-31-100,PGC044908,SDSSJ130133.59+290750.1,SDSSJ130133.60+290750.1,UGC08137,UZC125912+29240,[MO2001]J130133.7+290748.6,[RGD2016]J130133.60+290750.2,[WKE96]NSER05465,[WTK2001]J130133.71+290748.6",63.848581093458954,34.00364100076974,14.07207866435153,-21.13192133564847,1.8075254894083628,512,3.1807,28.004,14,2.908
NGC5199,202.678179,34.830694,77.8357294,78.6016665,0.05,,-2.0,S0,7104.1,3.1,101.487144252232,14.798,0.37,-20.345,13.018,0.074,16.122,,35.143,0.148,106.80714621305,1.104,"2MASXJ13304274+3449503,CGCG190-016,MCG+06-30-024,NGC5199,NRGb251.003,PGC047492,SDSSJ133042.75+344950.3,SDSSJ133042.76+344950.3,UGC08504,UZC132824+35050,[RGD2016]J133042.75+344950.4",76.23444631251252,39.47535284110943,14.073039172963938,-21.069960827036063,1.7531475117464197,469,3.1745,27.943,14,3.033
