name,objid,candid,ra,dec,distnr,gals,consolid,tnsid,tnstype,tnsdiscoverydate,tnsdiscoverymag,simbadid,gaiadesignation,gaiaprllx,gaiadist,location
ZTF22aameovi_2330185626215010000,ZTF22aameovi,2330185626215010000,162.3635442,21.7803258,1.7085328102111816,PGC032397,MCG+04-26-012,,,,,MCG+04-26-012,Gaia DR2 3989231908755912704,,0.00044347939868831954,nucleus
ZTF19abgbbzy_1039519170315015002,ZTF19abgbbzy,1039519170315015002,172.137033,58.5621879,3.2098388671875,IC0694 / NGC3690,2019lqo,2019lqo,SN II,2019-07-21 07:33:36.000,18.33,SN 2019lqo,,,,spiral
ZTF23aaawcwq_2298450055415015010,ZTF23aaawcwq,2298450055415015010,238.2314691,21.1033578,3.426745891571045,NGC6008,2023apm,2023apm,SN IIP,2023-01-23 12:48:57.600,19.45,,,,,spiral
ZTF20actqtfk_1441484665115015014,ZTF20actqtfk,1441484665115015014,177.6518363,-7.606661,1.192346453666687,PGC037028,2020aags,2020aags,,2020-11-17 14:48:28.800,18.795,,,,,spiral
ZTF18abxwqht_632208323315015020,ZTF18abxwqht,632208323315015020,277.0342236,34.3046391,1.4441416263580322,NGC6640,2018hmk,2018hmk,SN Ib,2018-10-18 15:24:28.000,18.49,SN 2018hmk,,,,spiral
ZTF22abexdnd_2075509895015015000,ZTF22abexdnd,2075509895015015000,126.7731894,21.6428331,0.15430963039398193,UGC04414,2022tav,2022tav,,2022-09-02 12:08:38.400,19.29,,,,,spiral
ZTF22abyuzmp_2217295061015015013,ZTF22abyuzmp,2217295061015015013,126.819517,22.8763309,1.6889312267303467,UGC04416,2023qj,2023qj,SN Ic,2023-01-14 09:11:59.712,18.79,,,,,spiral
ZTF19abxqppy_1011111151515015003,ZTF19abxqppy,1011111151515015003,235.3762349,15.7843989,0.7346730828285217,NGC5980,2019pqo,2019pqo,SN IIb,2019-09-07 05:05:53.000,18.6697,,,,,spiral
ZTF20abjgpxl_1444462460615015006,ZTF20abjgpxl,1444462460615015006,187.2505707,7.8501158,3.1719746589660645,PGC041107,2020noz,2020noz,SN IIn,2020-06-22 06:33:07.200,21.03,PS 20eml,,,,spiral
ZTF20actxvbs_1936493620415015002,ZTF20actxvbs,1936493620415015002,340.3133369,23.4068556,1.5752177238464355,IC5242,IC 5242,,,,,IC 5242,Gaia DR2 1876173110828904704,,0.0004199656180470741,bulge
ZTF22abyxmbz_2216141006315015002,ZTF22abyxmbz,2216141006315015002,358.0982406,28.7686802,3.2275390625,NGC7775,2022adva,2022adva,,2022-12-22 03:54:21.997,19.0217,,,,,spiral
ZTF20acuails_2327232973915010010,ZTF20acuails,2327232973915010010,176.2167549,-9.2333089,1.0892622470855713,NGC3854,NGC  3854,,,,,NGC  3854,,,,nuclear
