Name,RA,DEC,l,b,extinct,eff_B-V,t,type,v,e_v,dist_Hf,bt,e_bt,Bmagt,it,e_it,ut,vt,modbest,e_modbest,dist_Mpc,logd25,hl_names(pgc),appDiam_arcsec,appDiam_kpc,est_vt,est_Vmagt,Sn,Ngc,sigma_G,mu_g,vis_GCs,pc_vis_GCs,SDSSobjID,SDSSnChild,SDSSra,SDSSdec,SDSSdistance,petroMag_g,petroR50_g,petroR90_g,deVRad_g,expRad_g,petroMag_r,petroR50_r,petroR90_r,deVRad_r,expRad_r,Re_SDSS_g_calc,Re_SDSS_r_calc,Re_SDSS_g_calc_kpc,Re_SDSS_r_calc_kpc,Re_BmagCalc_kpc,Re_BmagCalc_arcsec
NGC3627,170.0625345,12.9916041,241.960894,64.4186554,0.144,0.82,3.1,Sb,718.9,2.2,10.2700003487723,9.735,0.197,-20.56,7.81,0.06,9.935,10.312,30.295,0.04,11.4551298169274,2.012,"2MASXJ11201502+1259286,ADBSJ112020+1259,AGC006346,ARK288,ARP016,ARP317:,CGCG067-057,HIPASSJ1120+13A,IRAS11176+1315,LGG231:[G93]003,MCG+02-29-019,MESSIER066,MRC1117+132,NGC3627,PGC034695,SDSSJ112014.98+125929.4,UGC06346,UZC111736+13160,VV308:",616.8097788758841,34.255138241454134,10.312,-19.983000000000004,1.3253286756416855,130,3.196,23.095,47,36.408,,,,,,,,,,,,,,,,,,,,4.59494430804548,82.73814464315011
NGC4406,186.549081,12.9458098,279.08329,74.6366365,0.127,0.94,-4.8,E,-291.8,18.7,-4.16857125418527,9.736,0.133,-21.465,8.05,0.194,10.668,8.859,31.201,0.047,17.3860147094557,2.062,"2MASXJ12261181+1256454,ACSVCS004,AGC007532,ALFALFA1-315,CGCG070-072,EVCC0597,GIN780,M86,MCG+02-32-046,MESSIER086,NGC4406,PGC040653,SDSSJ122611.75+125646.3,UGC07532,UZC122342+13140,VCC0881,VIRGO:[TT2002]01,[RG2008]J186.54898+12.94622,[TH2002]003",692.0719546926551,58.334536563586944,8.859,-22.342,3.6922577533296135,3192,3.2865,24.001,864,27.083,,,,,,,,,,,,,,,,,,,,5.677862442671057,67.36128528066857
NGC1068,40.6697295,-0.0132779,172.1038736,-51.9336851,0.144,0.78,3.0,Sb,1141.2,6.4,16.3028564453125,9.743,0.413,-20.373,7.49,0.1,9.833,9.285,30.116,0.341,10.5487219328509,1.786,"2MASXJ02424077-0000478,3C071,4C-00.13,AGC002188,ARP037,CGCG388-098,HIPASSJ0242+00,IRAS02401-0013,KUG0240-002,LGG073:[G93]002,MCG+00-07-083,MESSIER077,MRC0240-002,NGC1068,PGC010266,PKS0240-002,UGC02188,UZC024006-00130",366.5652149433432,18.746731256844587,9.285,-20.831,1.5766507459125023,338,3.1773,22.916,130,38.511,1237666407923318886,0,40.6696663003181,-0.0132199039523363,0.00514663657538698,10.84664,6.884615,14.99243,15.54887,6.592978,10.23504,6.516019,13.96877,15.35194,5.302143,6.92500795692544,6.549465840794957,0.3541559805123816,0.33495015617410384,4.30221342323783,84.12356088187482
NGC4490,187.651425,41.6439942,137.9947267,74.8694167,0.094,0.425,7.0,SBcd,586.9,2.2,8.38428606305804,9.761,0.172,-20.306,,,9.932,9.725,30.067,0.88,10.3133531016079,1.827,"2MASXJ12303636+4138370,ARP269:,CGCG216-008,IRAS12281+4154,IRAS12281+4155,KPG341B,KUG1228+419,LGG290:[G93]008,MCG+07-26-014,NGC4490,PGC041333,PGC089542,SDSSJ123036.23+413840.7,UGC07651,UZC122806+41550,VV030:,WSRT-CVN67A",402.85731175557135,20.143066956098917,9.725,-20.342,1.3664354202564937,187,3.1706000000000003,22.867,73,39.395,,,,,,,,,,,,,,,,,,,,4.201932617608285,84.03781222576859
NGC4649,190.9165035,11.5527063,295.8728588,74.31781,0.114,1.0,-4.6,E,1107.3,15.4,15.8185721261161,9.793,0.064,-21.366,8.007,0.162,11.37,8.79,31.159,0.068,17.0529720146776,1.831,"2MASXJ12434000+1133093,ACSVCS003,ARP116:,CGCG071-016,EVCC1101,KPG353B,LGG292:[G93]026,M60,MCG+02-33-002,MESSIER060,NGC4649,NIBLES1717,PGC042831,SDSSJ124339.97+113309.7,UGC07898,UZC124106+11500,VCC1978,VV206:,[RG2008]J190.91656+11.55271,[TH2002]002",406.584904566405,33.61443288566295,8.79,-22.369,3.754246201941214,3327,3.2766,23.959,913,27.453,,,,,,,,,,,,,,,,,,,,5.440689298978864,65.80810531372303
NGC3521,166.453122,-0.0347594,255.5314927,52.8305617,0.249,0.895,4.0,SABb,801.6,2.7,11.4514282226563,9.896,0.208,-20.57,7.835,0.068,10.126,9.109,30.466,0.289,12.3936697838802,1.92,"2MASXJ11054859-0002092,AGC006150,CGCG010-074,HIPASSJ1105-00,IRAS11032+0014,KIG0461,MCG+00-28-030,MGC96918,MRC1103+002,NGC3521,PGC033550,UGC06150,UZC110318+00150",499.0582626616025,29.98648975999249,9.109,-21.357,2.036537932376973,710,3.197,23.266,245,34.557,,,,,,,,,,,,,,,,,,,,4.611147750750219,76.74227306310549
NGC4725,192.610875,25.50075,295.0800318,88.3572668,0.051,0.895,2.2,SABa,1207.5,1.5,17.25,9.924,0.148,-20.482,8.165,0.051,,9.384,30.406,0.026,12.0559108397399,1.987,"2MASXJ12502661+2530027,ADBSJ125029+2530,AGC007989,CGCG129-027,HIPASSJ1250+25,IRAS12478+2545,IRAS12480+2547,KUG1247+257B,MCG+04-30-022,NGC4725,PGC043451,UGC07989,UZC124800+25460",582.3059803472938,34.03499857229443,9.384,-21.022,1.7135398624423033,439,3.1882,23.206,154,35.17,,,,,,,,,,,,,,,,,,,,4.470496096589709,76.48587399332246
NGC4382,186.350004,18.190178,267.713793,79.2363224,0.131,0.895,-1.3,S0-a,718.7,10.7,10.267143031529,9.943,0.193,-21.299,8.12,0.288,10.92,9.046,31.242,0.041,17.7174051303927,1.842,"2MASXJ12252405+1811278,ACSVCS005,CGCG099-045,EVCC0554,GIN779,KPG334A,LGG292:[G93]035,M85,MCG+03-32-029,MESSIER085,NGC4382,PGC040515,UGC07508,UZC122254+18280,VCC0798,[TH2002]004",417.0145905532781,35.82002010092484,9.046,-22.196,3.373425780769253,2549,3.2699,24.042,677,26.579,,,,,,,,,,,,,,,,,,,,5.285825032142665,61.53726757563517
NGC3628,170.07075450000002,13.5896273,240.8512306,64.7808101,0.117,0.84,3.1,SBb,845.1,1.3,12.0728567940848,9.975,0.188,-20.239,,,,9.451,30.214,0.339,11.0357064668089,2.043,"2MASXJ11201701+1335221,ADBSJ112026+1334,AGC006350,ARP317:,CGCG067-058,HIPASSJ1120+13B,IRAS11176+1351,LGG231:[G93]004,MCG+02-29-020,MRC1117+138,NGC3628,PGC034697,SDSSJ112017.01+133522.8,UGC06350,UZC111742+13520,VV308:",662.447171941244,35.442622545324,9.451,-20.763,1.5356995296523337,310,3.1639,23.014,116,37.48,,,,,,,,,,,,,,,,,,,,4.103989269233512,76.70640290808932
NGC4321,185.7286665,15.8222492,271.1362395,76.8987614,0.113,0.71,4.0,SABb,1574.0,1.6,22.4857142857143,10.011,0.12,-21.003,8.657,0.252,10.895,9.473,31.014,0.025,15.9514434209172,1.785,"2MASXJ12225489+1549205,AGC007450,ALFALFA1-289,CGCG099-030,EVCC0467,HIPASSJ1222+15,IRAS12203+1606,IRAS12204+1605,KUG1220+160,LGG289:[G93]057,M100,MCG+03-32-015,MESSIER100,NGC4321,NIBLES1641,PGC040153,SDSSJ122254.91+154920.2,UGC07450,UZC122024+16060,VCC0596,[TH2002]006",365.72213834410144,28.283014556869983,9.473,-21.541,2.2621293238528324,935,3.2403000000000004,23.814,268,28.721,,,,,,,,,,,,,,,,,,,,5.370385708756736,69.44340891208293
NGC4374,186.26544,12.8871094,278.2038108,74.4783953,0.176,1.0,-4.4,E,999.2,27.5,14.2742858886719,10.011,0.119,-21.535,8.369,0.123,11.23,9.792,31.546,0.036,20.3797994234386,1.87,"2MASXJ12250377+1253130,3C272.1,4C+13.47,ACSVCS006,CGCG070-058,EVCC0539,GIN778,IRAS12224+1309,LGG292:[G93]005,M84,MCG+02-32-034,MESSIER084,MRC1222+131,NGC4374,PGC040455,SDSSJ122503.74+125312.8,UGC07494,UZC122230+13100,VCC0763,VIRGO:[TT2002]02,[RG2008]J186.26560+12.88692,[TH2002]005",444.7861447805506,43.946633781553565,9.792,-21.754,2.568912526580561,1292,3.2935,24.346,307,23.764,,,,,,,,,,,,,,,,,,,,5.851774100430769,59.22610717341877
NGC4636,190.706964,2.6887035,297.7463689,65.4737129,0.124,0.91,-4.8,E,925.3,21.9,13.2185712541853,10.042,0.222,-20.696,9.431,0.811,13.533,9.993,30.738,0.103,14.0475366534995,1.803,"2MASXJ12424986+0241160,CGCG043-002,EVCC1078,LGG292:[G93]049,MCG+01-32-137,NGC4636,PGC042734,SDSSJ124249.69+024115.5,SDSSJ124249.82+024115.9,UGC07878,UZC124018+02580,VCC1939",381.19855911104617,25.961266969062216,9.993,-20.745,1.5255231110619434,302,3.2096,23.538,95,31.46,,,,,,,,,,,,,,,,,,,,4.0760781731126325,59.8505122367935
NGC4565,189.086598,25.9875214,230.7584808,86.4378365,0.067,0.97,3.2,Sb,1226.2,1.7,17.5171421595982,10.055,0.243,-20.353,,,,10.856,30.408,0.014,12.0670243531695,2.224,"2MASXJ12362080+2559146,ADBSJ123606+2602,AGC007772,CGCG129-010,FGC1471,IRAS12338+2615,KUG1233+262,LGG294:[G93]003,MCG+04-30-006,NGC4565,PGC042038,PGC1758217,RFGC2335,SDSSJ123620.76+255915.5,UGC07772,UZC123348+26150",1004.965725615863,58.79303752506377,10.856,-19.552,1.3817123272233405,91,3.1753,23.208,32,35.442,1237667912742338612,0,189.086532509113,25.9876569221593,0.00886535667979669,12.75828,21.02505,48.61741,11.16536,5.808502,11.55723,16.71603,42.56472,9.457,6.958991,21.230924660818772,17.09097781704989,1.2420628071772093,0.9998654426966318,4.272030834515909,73.02301000577474
NGC2841,140.511066,50.9766176,166.9419264,44.1513729,0.066,0.935,2.9,SBb,635.4,1.8,9.07714320591518,10.064,0.122,-21.006,8.694,0.675,12.672,10.179,31.07,0.027,16.3681629139186,1.839,"2MASXJ09220265+5058353,CGCG265-006,IRAS09185+5111,KIG0324,MCG+09-16-005,NGC2841,PGC026512,SDSSJ092202.67+505835.9,UGC04966,UZC091830+51120",414.1438823041451,32.86439548811954,10.179,-20.891,1.616130307201388,367,3.2406,23.87,103,28.197,1237654652569976914,0,140.511195171833,50.9766040684253,0.00494696518778007,10.86934,17.97824,56.59611,29.67838,11.20251,9.96596,18.88676,58.04524,29.67293,14.38774,20.718865877698587,21.17182040628748,1.6441459873357067,1.68009020238208,5.376060089850023,67.74694510707566
NGC3623,169.7329605,13.092309,241.33134,64.221667,0.108,0.975,1.0,Sa,801.6,1.2,11.4514282226563,10.139,0.135,-20.409,8.04,0.1,10.589,9.316,30.548,0.274,12.8706377522373,1.883,"2MASXJ11185595+1305319,ADBSJ111852+1305,AGC006328,ARP317:,CGCG067-054,IRAS11163+1322,LGG231:[G93]002,MCG+02-29-018,MESSIER065,NGC3623,PGC034612,SDSSJ111855.91+130532.3,UGC06328,UZC111618+13220,VV308:",458.3014701466144,28.5973490586133,9.316,-21.232,1.9031608140273877,591,3.1809000000000003,23.348,198,33.529,1237661813878947918,0,169.732959619956,13.0923133742376,0.00026744586888537,10.71601,25.88573,75.30297,29.67912,26.81492,9.809247,26.0078,74.85264,29.67204,27.13464,27.767672111744048,27.723935426624898,1.7326625892573138,1.7299334833467024,4.357080472095408,69.82662560140318
NGC4303,185.478414,4.4737765,284.3698563,66.275705,0.097,0.635,4.0,Sbc,1566.8,2.1,22.3828578404018,10.159,0.06,-20.292,9.12,0.1,10.68,10.254,30.451,0.102,12.3083558207998,1.838,"2MASXJ12215494+0428249,AGC007420,CGCG042-045,EVCC0429,HIPASSJ1221+04,IRAS12193+0444,IRAS12194+0444,LGG287:[G93]002,MCG+01-32-022,MESSIER061,MRC1219+047,NGC4303,PGC040001,SDSSJ122154.92+042825.6,UGC07420,UZC121918+04450,VCC0508",413.1913778065657,24.656177733157502,10.254,-20.197000000000003,1.3392359742731514,160,3.1692,23.251,55,34.713,,,,,,,,,,,,,,,,,,,,4.181275494529098,70.07034915431963
